timestamp,src_ip,dst_ip,action,bytes_sent,request_id
2025-04-13T13:18:41,192.168.1.35,10.0.0.217,REJECT,2476,req-9ca6b2c8
2025-04-13T13:05:45,192.168.1.178,10.0.0.53,ACCEPT,562,req-a0661413
2025-04-13T13:17:58,192.168.1.65,10.0.0.177,REJECT,1784,req-5d2178ae
2025-04-13T13:17:24,192.168.1.167,10.0.0.207,ACCEPT,1260,req-13a629cc
2025-04-13T12:29:57,192.168.1.46,10.0.0.137,REJECT,6651,req-e77000d6
2025-04-13T12:20:30,192.168.1.171,10.0.0.150,ACCEPT,3319,req-5c1362fd
2025-04-13T12:05:46,192.168.1.43,10.0.0.27,REJECT,8311,req-2cb853e3
2025-04-13T12:04:00,192.168.1.211,10.0.0.245,REJECT,2484,req-d2857458
2025-04-13T12:52:27,192.168.1.219,10.0.0.86,REJECT,9220,req-931bc3cc
2025-04-13T12:02:46,192.168.1.88,10.0.0.193,ACCEPT,2530,req-94b81b65
2025-04-13T13:12:39,192.168.1.166,10.0.0.184,REJECT,1640,req-411fa14b
2025-04-13T13:12:44,192.168.1.97,10.0.0.216,REJECT,5720,req-5a40db95
2025-04-13T12:31:40,192.168.1.89,10.0.0.121,REJECT,7845,req-e1062215
2025-04-13T12:59:50,192.168.1.201,10.0.0.117,REJECT,3070,req-98c65c95
2025-04-13T12:09:52,192.168.1.79,10.0.0.173,REJECT,4676,req-9bf0d5d8
2025-04-13T12:47:46,192.168.1.142,10.0.0.88,ACCEPT,5661,req-ba9b7b83
2025-04-13T13:07:49,192.168.1.234,10.0.0.20,REJECT,8973,req-38a74752
2025-04-13T12:56:08,192.168.1.224,10.0.0.124,REJECT,5270,req-3037d8c8
2025-04-13T12:45:58,192.168.1.170,10.0.0.227,ACCEPT,859,req-024bd242
2025-04-13T13:13:11,192.168.1.182,10.0.0.4,ACCEPT,7365,req-ca3ae33d
2025-04-13T12:20:29,192.168.1.184,10.0.0.233,ACCEPT,8030,req-3c4bbf77
2025-04-13T12:34:09,192.168.1.52,10.0.0.42,ACCEPT,8804,req-fb11ae60
2025-04-13T12:10:38,192.168.1.229,10.0.0.14,REJECT,8886,req-c19e9d34
2025-04-13T12:15:08,192.168.1.128,10.0.0.143,ACCEPT,5309,req-3f368454
2025-04-13T12:55:55,192.168.1.31,10.0.0.168,REJECT,2144,req-5b4272e5
2025-04-13T12:57:47,192.168.1.152,10.0.0.240,REJECT,8029,req-59e163ba
2025-04-13T13:08:45,192.168.1.48,10.0.0.144,ACCEPT,8157,req-0ffa4631
2025-04-13T12:48:34,192.168.1.249,10.0.0.223,REJECT,1302,req-12c6b2c3
2025-04-13T12:21:46,192.168.1.242,10.0.0.150,REJECT,7111,req-9cead9e1
2025-04-13T13:20:32,192.168.1.203,10.0.0.18,REJECT,3282,req-0ce1dc9e
2025-04-13T12:23:24,192.168.1.172,10.0.0.230,ACCEPT,5833,req-1313d271
2025-04-13T12:26:23,192.168.1.34,10.0.0.85,REJECT,2565,req-d2409bfd
2025-04-13T12:58:16,192.168.1.124,10.0.0.109,ACCEPT,4654,req-8c04e0ae
2025-04-13T13:00:11,192.168.1.208,10.0.0.103,REJECT,1287,req-ec9bfa27
2025-04-13T13:17:01,192.168.1.170,10.0.0.91,REJECT,7213,req-460d1818
2025-04-13T13:15:26,192.168.1.137,10.0.0.171,REJECT,637,req-a3e848f1
2025-04-13T12:01:52,192.168.1.67,10.0.0.245,REJECT,2978,req-64a42c22
2025-04-13T12:26:11,192.168.1.129,10.0.0.136,ACCEPT,6612,req-0a5e9943
2025-04-13T13:04:54,192.168.1.66,10.0.0.180,ACCEPT,7796,req-7bc7d3f2
2025-04-13T13:06:09,192.168.1.145,10.0.0.107,ACCEPT,1014,req-fa984666
2025-04-13T13:14:00,192.168.1.54,10.0.0.190,REJECT,9161,req-cfe87fe9
2025-04-13T12:26:57,192.168.1.88,10.0.0.198,ACCEPT,871,req-8c9b4a1b
2025-04-13T12:53:56,192.168.1.143,10.0.0.49,ACCEPT,4132,req-7c296cad
2025-04-13T13:01:05,192.168.1.152,10.0.0.114,REJECT,1645,req-e228dc67
2025-04-13T12:08:56,192.168.1.220,10.0.0.1,ACCEPT,8104,req-3da34cd8
2025-04-13T13:21:55,192.168.1.177,10.0.0.50,REJECT,7203,req-5ac1ec8a
2025-04-13T12:51:24,192.168.1.26,10.0.0.76,REJECT,6358,req-4f0dfd61
2025-04-13T12:51:39,192.168.1.155,10.0.0.150,ACCEPT,8477,req-0d0812c1
2025-04-13T12:59:37,192.168.1.1,10.0.0.45,ACCEPT,8953,req-b89eab2f
2025-04-13T12:22:23,192.168.1.130,10.0.0.250,REJECT,1771,req-1dd79f3c
2025-04-13T12:36:29,192.168.1.205,10.0.0.229,REJECT,2384,req-d1802337
2025-04-13T12:22:29,192.168.1.103,10.0.0.207,ACCEPT,9556,req-e846a693
2025-04-13T12:29:37,192.168.1.152,10.0.0.50,ACCEPT,6095,req-931b1cab
2025-04-13T12:24:23,192.168.1.121,10.0.0.80,REJECT,4221,req-7ef29448
2025-04-13T12:12:57,192.168.1.71,10.0.0.165,REJECT,6500,req-a5a8bb78
2025-04-13T13:02:56,192.168.1.196,10.0.0.56,ACCEPT,558,req-a7b607bf
2025-04-13T13:14:12,192.168.1.3,10.0.0.131,ACCEPT,6574,req-67c9358f
2025-04-13T13:22:45,192.168.1.236,10.0.0.78,REJECT,8225,req-a548a6e0
2025-04-13T12:28:14,192.168.1.141,10.0.0.124,REJECT,2655,req-beee06c2
2025-04-13T12:37:02,192.168.1.11,10.0.0.224,REJECT,9124,req-b4659291
2025-04-13T12:13:10,192.168.1.28,10.0.0.35,ACCEPT,7614,req-f6a01f4c
2025-04-13T12:45:03,192.168.1.246,10.0.0.52,REJECT,8589,req-fa063a0d
2025-04-13T13:16:55,192.168.1.3,10.0.0.162,REJECT,8715,req-ab03fc5b
2025-04-13T13:19:15,192.168.1.243,10.0.0.227,ACCEPT,8372,req-f02ccc68
2025-04-13T12:55:38,192.168.1.223,10.0.0.252,ACCEPT,9214,req-03b36d79
2025-04-13T12:35:09,192.168.1.174,10.0.0.34,REJECT,9384,req-ad5d3cd9
2025-04-13T12:41:31,192.168.1.107,10.0.0.73,ACCEPT,4595,req-fca4e9a8
2025-04-13T12:56:19,192.168.1.23,10.0.0.56,REJECT,3465,req-c502727d
2025-04-13T12:01:03,192.168.1.21,10.0.0.105,ACCEPT,2968,req-741994c1
2025-04-13T13:04:09,192.168.1.205,10.0.0.149,REJECT,5301,req-20fdd87e
