timestamp,src_ip,dst_ip,action,bytes_sent,request_id
2025-04-20T16:52:54.319646,10.0.0.44,10.0.0.212,ACCEPT,2836,req-62d60214
2025-04-24T15:48:52.740573,192.168.1.52,10.0.0.78,ACCEPT,7503,req-1e7f642e
2025-02-19T02:32:05.470771,192.168.1.182,10.0.0.99,ACCEPT,6603,req-0beb1cf3
2025-04-08T01:29:22.808348,192.168.1.251,192.168.1.155,ACCEPT,1283,req-6e9eced1
2025-01-29T17:00:16.785970,10.0.0.121,192.168.1.120,ACCEPT,4689,req-bfcdfe57
2025-03-15T09:40:46.968366,192.168.1.133,192.168.1.129,ACCEPT,8044,req-e5b0f449
2025-04-21T18:30:01.865523,10.0.0.188,192.168.1.119,ACCEPT,7922,req-5e2711eb
2025-03-01T11:15:20.501845,192.168.1.83,192.168.1.246,ACCEPT,6847,req-14c60103
2025-04-04T12:21:35.235092,192.168.1.135,10.0.0.35,ACCEPT,9260,req-ab47e42e
2025-04-17T07:03:26.436482,192.168.1.176,192.168.1.67,ACCEPT,4364,req-c51d2df1
2025-01-31T11:08:35.092135,10.0.0.176,192.168.1.143,ACCEPT,9672,req-77de24c1
2025-03-14T09:04:00.255708,192.168.1.95,10.0.0.67,ACCEPT,1844,req-76883d6d
2025-03-11T18:59:31.805884,10.0.0.95,192.168.1.159,ACCEPT,6804,req-0c24f723
2025-03-13T13:50:22.453463,10.0.0.146,192.168.1.130,ACCEPT,8397,req-c394f707
2025-04-15T21:20:07.763015,10.0.0.140,192.168.1.122,ACCEPT,7943,req-7bad6711
2025-02-01T13:40:22.201412,10.0.0.153,192.168.1.242,ACCEPT,1805,req-1b054147
2025-02-15T14:57:07.581998,10.0.0.78,192.168.1.167,ACCEPT,9631,req-ff5ed2f7
2025-04-28T03:23:54.166621,192.168.1.56,10.0.0.138,ACCEPT,8099,req-47aed786
2025-03-04T23:11:28.796074,192.168.1.112,10.0.0.42,ACCEPT,8144,req-7313e7a6
2025-03-12T01:20:06.429668,10.0.0.90,192.168.1.127,ACCEPT,593,req-2837a625
2025-02-12T00:34:27.268084,192.168.1.8,10.0.0.52,ACCEPT,7094,req-a5c0825a
2025-01-30T18:53:55.234544,192.168.1.103,192.168.1.135,REJECT,7932,req-28d48c96
2025-04-08T11:33:16.896882,62.210.180.94,10.0.0.26,DROP,380843,req-c354a33d
2025-02-09T19:57:43.702734,10.0.0.1,192.168.1.215,REJECT,3399,req-1e67bf95
2025-01-30T18:54:03.331966,192.168.1.142,192.168.1.118,ACCEPT,5247,req-198a8167
2025-04-01T11:40:30.509230,192.168.1.80,10.0.0.111,ACCEPT,5014,req-955f61b1
2025-03-30T17:48:39.770590,10.0.0.26,10.0.0.239,ACCEPT,8117,req-abf9dae0
2025-04-01T11:36:37.255130,192.168.1.212,10.0.0.197,ACCEPT,5942,req-83087346
2025-04-21T20:33:29.366286,10.0.0.231,192.168.1.13,ACCEPT,7519,req-fb08e0c3
2025-02-25T11:37:03.186813,10.0.0.12,192.168.1.115,ACCEPT,9103,req-4af29fad
2025-02-09T23:35:24.787186,192.168.1.121,10.0.0.107,ACCEPT,732,req-feb23d09
2025-04-01T09:11:55.801692,192.168.1.57,10.0.0.176,ACCEPT,5408,req-50372436
2025-03-03T17:11:00.851491,192.168.1.35,192.168.1.18,ACCEPT,7778,req-e3872923
2025-02-21T08:31:08.453335,192.168.1.62,192.168.1.23,ACCEPT,9664,req-5bdd164e
2025-04-02T18:41:16.921419,10.0.0.133,10.0.0.179,ACCEPT,4540,req-45b53762
2025-01-31T10:25:42.331680,10.0.0.105,10.0.0.142,ACCEPT,9054,req-a1e2cfcf
2025-02-07T03:51:41.596258,192.168.1.77,10.0.0.236,ACCEPT,5097,req-0c01cd87
2025-04-01T11:36:33.815060,192.168.1.218,192.168.1.197,ACCEPT,8772,req-afe93cee
2025-04-12T00:54:59.048716,192.168.1.101,10.0.0.219,ACCEPT,9618,req-47652a07
2025-03-09T12:56:56.897897,192.168.1.174,10.0.0.131,ACCEPT,3580,req-0365ac0a
2025-01-30T23:28:56.022544,10.0.0.167,10.0.0.13,REJECT,9929,req-58b0df66
2025-03-21T19:22:53.260710,10.0.0.150,192.168.1.161,ACCEPT,3629,req-419ea8c1
2025-04-27T20:40:30.679622,192.168.1.115,192.168.1.59,ACCEPT,2009,req-cbabbb70
2025-03-14T14:34:03.266438,192.168.1.100,192.168.1.63,DROP,83219,req-e0aad2e5
2025-03-19T02:34:06.925849,192.168.1.54,10.0.0.3,ACCEPT,7686,req-1756d8ba
2025-03-19T02:59:45.390118,192.168.1.163,192.168.1.204,ACCEPT,1438,req-b129b116
2025-03-10T13:18:11.661547,10.0.0.110,192.168.1.40,REJECT,6694,req-475790e7
2025-04-16T06:43:23.419318,192.168.1.72,10.0.0.105,ACCEPT,2912,req-929533b4
2025-03-16T15:11:53.585861,192.168.1.38,192.168.1.138,ACCEPT,6407,req-f4f499ef
2025-04-15T09:10:38.967533,10.0.0.194,192.168.1.151,REJECT,7692,req-2de0483a
2025-04-27T10:18:58.698586,10.0.0.69,10.0.0.135,ACCEPT,6730,req-7de722b8
2025-03-27T01:40:21.334464,192.168.1.190,192.168.1.227,ACCEPT,3241,req-39372119
2025-02-15T23:43:23.087843,10.0.0.15,192.168.1.111,DROP,294122,req-63777acd
2025-04-18T08:46:01.325993,192.168.1.168,192.168.1.76,ACCEPT,2857,req-dcc7d246
2025-02-19T14:35:59.033428,10.0.0.44,192.168.1.43,ACCEPT,2992,req-28bebe82
2025-02-25T12:16:45.456036,10.0.0.48,10.0.0.67,ACCEPT,2778,req-9b284c81
2025-03-31T07:32:42.462090,10.0.0.231,192.168.1.30,REJECT,3998,req-32f52e54
2025-04-12T15:45:22.672294,10.0.0.140,10.0.0.136,ACCEPT,2085,req-b33812e0
2025-02-07T04:57:45.927806,192.168.1.128,10.0.0.21,ACCEPT,911,req-c70e94b7
2025-02-09T12:28:58.914984,10.0.0.227,10.0.0.141,ACCEPT,9063,req-4d77fecc
2025-03-12T11:04:43.165839,10.0.0.52,192.168.1.14,ACCEPT,4085,req-fb5b8d91
2025-03-20T08:41:23.379101,192.168.1.239,192.168.1.234,REJECT,576,req-cf943915
2025-02-25T01:15:39.394491,192.168.1.186,192.168.1.194,ACCEPT,1523,req-d0dae0df
2025-02-11T19:30:44.901517,10.0.0.76,192.168.1.203,ACCEPT,3620,req-925f9ee1
2025-02-13T19:06:25.434148,192.168.1.239,10.0.0.85,REJECT,8443,req-4c932524
2025-01-29T05:27:16.737042,192.168.1.136,192.168.1.68,ACCEPT,3997,req-fbd07bb4
2025-02-25T00:08:24.109958,10.0.0.98,10.0.0.130,ACCEPT,2661,req-ac60e2dd
2025-03-15T20:19:11.068180,10.0.0.7,10.0.0.238,ACCEPT,5567,req-010005e7
2025-02-10T11:35:24.012804,192.168.1.64,192.168.1.237,ACCEPT,780,req-c486c09a
2025-03-29T00:53:58.251951,10.0.0.205,10.0.0.143,ACCEPT,8889,req-a430f5d4
